"Year" "Month" "TMax" "TMin" "Prec" "PAR" "CO2"
1800-2100 1 8.02068741912013 -0.922154630137358 73.2585969677923 245.58504197729 369.704426856339
1800-2100 2 8.32359717711178 -0.356432218815725 60.0541355154087 320.309331064709 370.99291293253
1800-2100 3 10.7629040625955 1.18793435524482 53.4244877882669 436.173217185706 371.283073086621
1800-2100 4 12.348513326719 2.75123994223257 55.252685772937 521.895920909356 368.478365004199
1800-2100 5 17.1054984459552 6.07397413377019 40.2780965891984 585.822967194953 364.450276822149
1800-2100 6 23.048507722916 10.1830845135741 17.4503302471 631.631710620204 359.342837481955
1800-2100 7 28.0589056701914 14.1252828640543 3.07158883559497 624.514356304368 357.944259806104
1800-2100 8 27.7515073137889 13.755590153935 8.65516946259564 551.215000404022 356.091252106772
1800-2100 9 22.1351185366005 10.048227936978 29.2016130740531 452.707291000242 358.797616810702
1800-2100 10 16.5591012659357 6.48013075347915 64.4632591495885 354.038253655565 364.777506303909
1800-2100 11 10.7060484953531 1.88679760476945 76.755918331915 257.815110002765 368.306926890774
1800-2100 12 8.76050191446988 0.503510668516169 87.903875388893 216.101693808238 368.26936430929
